2_min,3_min,4_min,5_min,6_min,7_min,8_min,9_min,10_min,11_min,12_min,13_min,14_min,15_min,16_min,17_min,18_min,19_min,20_min,21_min,22_min,23_min,24_min,25_min,26_min,27_min,28_min,29_min,30_min,31_min,32_min,33_min,2_max,3_max,4_max,5_max,6_max,7_max,8_max,9_max,10_max,11_max,12_max,13_max,14_max,15_max,16_max,17_max,18_max,19_max,20_max,21_max,22_max,23_max,24_max,25_max,26_max,27_max,28_max,29_max,30_max,31_max,32_max,33_max,class
0.0023050000000000015,0.5294449999999999,0.07378500000000004,0.48847,0.08301000000000003,0.68854,0.0,0.4812,0.07378500000000004,0.588775,0.201225,0.7247250000000001,0.19732,0.691115,0.07821999999999996,0.6927099999999999,0.20894000000000001,0.66096,0.21514499999999998,0.64837,0.31527,0.736785,0.215945,0.7558549999999999,0.29461,0.73084,0.39367,0.67045,0.288665,0.772435,0.406795,0.7265,0.997695,0.47055500000000006,0.926215,0.51153,0.91699,0.31145999999999996,1.0,0.5187999999999999,0.926215,0.41122499999999995,0.798775,0.27527499999999994,0.8026800000000001,0.30888499999999997,0.92178,0.30729000000000006,0.79106,0.33904,0.7848550000000001,0.35163,0.6847300000000001,0.263215,0.784055,0.24414500000000006,0.70539,0.26915999999999995,0.60633,0.32955,0.711335,0.22756500000000002,0.593205,0.27349999999999997,1
0.0,0.594145,0.034824999999999995,0.6807799999999999,0.55434,0.9679850000000001,0.0,0.522745,0.24563000000000001,0.838715,0.32784,0.848535,0.758425,0.987575,0.472505,0.811185,0.334455,1.0,0.565755,0.7265,0.59028,0.67867,0.60166,0.632845,0.60234,0.592005,0.5952,0.557965,0.58313,0.53144,0.56869,0.512235,1.0,0.40585499999999997,0.965175,0.31922000000000006,0.44565999999999995,0.032014999999999905,1.0,0.477255,0.75437,0.161285,0.67216,0.15146499999999996,0.24157499999999998,0.01242500000000002,0.527495,0.18881499999999996,0.665545,0.0,0.434245,0.27349999999999997,0.40972,0.32133,0.39834,0.367155,0.39766,0.407995,0.40480000000000005,0.44203499999999996,0.41686999999999996,0.46856,0.43130999999999997,0.487765,0
0.0,0.516825,0.0,0.497575,0.0,0.56031,0.055174999999999974,0.49401,0.13459,0.47327,0.07278500000000004,0.495865,0.227045,0.498505,0.081125,0.56822,0.12232500000000002,0.5427,0.145565,0.63751,0.28307499999999997,0.56031,0.21236,0.7011000000000001,0.20508000000000004,0.610725,0.2845,0.586825,0.19782,0.6209,0.219775,0.69119,1.0,0.483175,1.0,0.502425,1.0,0.43969,0.944825,0.5059899999999999,0.86541,0.5267299999999999,0.9272149999999999,0.504135,0.7729550000000001,0.501495,0.918875,0.43178000000000005,0.877675,0.45730000000000004,0.8544350000000001,0.36249,0.716925,0.43969,0.78764,0.29889999999999994,0.79492,0.38927500000000004,0.7155,0.41317499999999996,0.80218,0.3791,0.780225,0.30881000000000003,1
0.0,0.725805,0.0,0.0,0.14392,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.42742,0.22953,0.69665,1.0,0.772335,0.8498749999999999,0.0,0.5,0.5,0.0,0.04652499999999998,0.241935,0.0,0.0,0.600495,0.37159,0.0,0.66191,0.0,1.0,0.27419499999999997,1.0,1.0,0.85608,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.57258,0.77047,0.30335,0.0,0.227665,0.15012500000000006,1.0,0.5,0.5,1.0,0.9534750000000001,0.758065,1.0,1.0,0.399505,0.62841,1.0,0.33809,1.0,0
0.0,0.512005,0.029299999999999993,0.467345,0.039470000000000005,0.616275,0.11424000000000001,0.581995,0.23601,0.601375,0.217955,0.50356,0.328025,0.637285,0.2353,0.6089,0.274465,0.589065,0.47009,0.677875,0.488455,0.7643949999999999,0.48357,0.82579,0.43355,0.76603,0.487845,0.8109850000000001,0.528535,0.797865,0.52304,0.8284849999999999,1.0,0.48799499999999996,0.9707,0.532655,0.96053,0.383725,0.88576,0.41800499999999996,0.76399,0.398625,0.782045,0.49644,0.671975,0.362715,0.7646999999999999,0.3911,0.725535,0.41093500000000005,0.52991,0.322125,0.511545,0.23560500000000006,0.51643,0.17420999999999998,0.56645,0.23397,0.512155,0.18901499999999993,0.471465,0.20213499999999995,0.47696000000000005,0.17151500000000008,1
0.488315,0.50296,0.54962,0.559745,0.503815,0.5591200000000001,0.42647,0.466815,0.48107,0.53151,0.5,0.5,0.52286,0.5777,0.501715,0.55098,0.557875,0.52707,0.49081,0.481655,0.492405,0.49556,0.482435,0.507675,0.5162,0.453885,0.539295,0.49634,0.5,0.5,0.500195,0.43994500000000003,0.511685,0.49704000000000004,0.45038,0.44025499999999995,0.496185,0.44087999999999994,0.57353,0.533185,0.51893,0.46848999999999996,0.5,0.5,0.47714,0.4223,0.498285,0.44902,0.442125,0.47292999999999996,0.50919,0.5183450000000001,0.507595,0.50444,0.517565,0.492325,0.4838,0.546115,0.46070500000000003,0.50366,0.5,0.5,0.49980500000000005,0.560055,0
0.012060000000000015,0.55301,0.02699499999999999,0.604,0.03597,0.64175,0.07001999999999997,0.63671,0.10116999999999998,0.739645,0.108875,0.7538199999999999,0.12685999999999997,0.80718,0.210275,0.84043,0.31074,0.868205,0.31838,0.88281,0.34051,0.898765,0.38604,0.9081699999999999,0.431705,0.91255,0.47697,0.911975,0.52131,0.90659,0.56916,0.904875,0.98794,0.44699,0.973005,0.396,0.9640299999999999,0.35824999999999996,0.92998,0.36329,0.89883,0.260355,0.891125,0.24618000000000007,0.87314,0.19282,0.789725,0.15957,0.68926,0.131795,0.68162,0.11719000000000002,0.65949,0.10123499999999996,0.6139600000000001,0.09183000000000008,0.568295,0.08745000000000003,0.52303,0.08802500000000002,0.47868999999999995,0.09340999999999999,0.43084,0.09512500000000002,1
0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0
0.01822499999999999,0.53599,0.0,0.571665,0.0,0.606565,0.0,0.68087,0.037150000000000016,0.717845,0.027449999999999974,0.7033400000000001,0.04803999999999997,0.731905,0.00847500000000001,0.676285,0.07731499999999997,0.8301000000000001,0.12326999999999999,0.802945,0.15181500000000003,0.821125,0.07446999999999998,0.8271999999999999,0.212115,0.84856,0.37282499999999996,0.819595,0.27443,0.863895,0.305525,0.8671,0.9817750000000001,0.46401000000000003,1.0,0.428335,1.0,0.393435,1.0,0.31913,0.96285,0.28215500000000004,0.97255,0.2966599999999999,0.95196,0.26809499999999997,0.991525,0.323715,0.922685,0.16989999999999994,0.87673,0.19705499999999998,0.848185,0.178875,0.92553,0.17280000000000006,0.787885,0.15144000000000002,0.627175,0.18040500000000004,0.72557,0.13610500000000003,0.694475,0.13290000000000002,1
0.50932,0.542295,0.5,0.5,0.5,0.5,0.44265,0.63405,0.728315,0.69086,0.5,0.5,0.66828,0.30699,0.685665,0.42491,0.18135999999999997,0.389425,0.5,0.5,0.5,0.5,0.5740149999999999,0.50663,0.396775,0.51147,0.5,0.5,0.417025,0.37957,0.54104,0.30967500000000003,0.49068,0.45770500000000003,0.5,0.5,0.5,0.5,0.55735,0.36595,0.27168499999999995,0.30913999999999997,0.5,0.5,0.33172,0.69301,0.31433500000000003,0.57509,0.81864,0.610575,0.5,0.5,0.5,0.5,0.42598500000000006,0.49337,0.603225,0.48853,0.5,0.5,0.582975,0.62043,0.45896000000000003,0.690325,0
